id,uf,nre,municipio,codigo_inep,escola,dependencia_administrativa,localizacao,localidade_diferenciada,endereco,telefone,categoria_escola_privada,etapas_modalidade_ensino_oferecidas,outras_ofertas_educacionais,apmf_cnpj
7990,PR,PONTA GROSSA,Carambeí,41060377,LIMPO GRANDE E R M DE EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"EST DE CATANDUVAS DE FORA SN, 0 LIMPO GRANDE. 84145-000 Carambeí - PR.",(42) 91297466,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7991,PR,PONTA GROSSA,Carambeí,41360354,RAIO DE SOL E EI EF MOD ED ESP,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA OURO BRANCO, 420 JD BELA VISTA. 84145-000 Carambeí - PR.",(42) 32315681,Filantrópica,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
7992,PR,PONTA GROSSA,Carambeí,41148789,SANTA CRUZ E R M EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"EST PARA SANTA CRUZ SN, SANTA CRUZ. 84145-000 Carambeí - PR.",(42) 91495995,Não Informado,"Educação Infantil, Ensino Fundamental",,
7993,PR,PONTA GROSSA,Carambeí,41155599,SANTA RITA DE CASSIA C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CALENDULAS, 347 JD ELDORADO. 84145-000 Carambeí - PR.",(42) 39151056,Não Informado,Educação Infantil,,
7994,PR,PONTA GROSSA,Carambeí,41365488,SAO JUDAS TADEU C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"PR 151 - KM 311, 84145-000 Carambeí - PR.",(42) 32314822,Não Informado,Educação Infantil,,
7995,PR,PONTA GROSSA,Carambeí,41060245,THERESA GAERTNER SEIFARTH E M PROF EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA PORTO ALEGRE SN, JD BRASILIA. 84145-000 Carambeí - PR.",(42) 32311631,Não Informado,Ensino Fundamental,Atendimento Educacional Especializado,
7996,PR,PONTA GROSSA,Carambeí,41352700,TONIA JOANNA HARMS E M PROFA EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA PLACIDO DE CASTRO, 500 BOQUEIRAO. 84145-000 Carambeí - PR.",(42) 32314011,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7997,PR,PONTA GROSSA,Carambeí,41148630,ZILDA ARNS NEUMANN C E C DRA EFM,Estadual,Rural,A escola não está em área de localização diferenciada,"ESTRADA P/ BALSA, 0 VILA DE SANTA CRUZ. 84145-000 Carambeí - PR.",(42) 91330815,Não Informado,"Ensino Fundamental, Ensino Médio",Atividade Complementar,14583599000148
7998,PR,PONTA GROSSA,Castro,41059620,AMANDA CARNEIRO DE MELLO C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA JOAO RODRIGUES MACEDO, 108 VL RIO BRANCO. 84172-310 Castro - PR.",(42) 32332946,Não Informado,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,75639203000121
7999,PR,PONTA GROSSA,Castro,41059638,ANTONIO E MARCOS CAVANIS C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA ANTONIO ROLIM DE MOURA, 49 CENTRO. 84165-580 Castro - PR.",(42) 32325201,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",1266002000190
8000,PR,PONTA GROSSA,Castro,41059778,BASILIO CHRUM C E PROF EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA ANTONIO JOSE GOMES, 99 VL RIO BRANCO. 84174-150 Castro - PR.",(42) 32331972,Não Informado,Ensino Fundamental,Atendimento Educacional Especializado,84793124000161
8001,PR,PONTA GROSSA,Castro,41060962,BENEDITO R DE C LEAL E M C PROF EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"SERRA DO APON, DIST SOCAVAO. 84165-970 Castro - PR.",,Não Informado,"Educação Infantil, Ensino Fundamental",,
8002,PR,PONTA GROSSA,Castro,41059786,BERNARDO LITZINGER E M PROF EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA MARIANA MARQUES SN, CENTRO. 84165-640 Castro - PR.",(42) 21225445,Não Informado,Ensino Fundamental,,
8003,PR,PONTA GROSSA,Castro,41059905,CASTROLANDA E E DO C EF,Estadual,Urbana,A escola não está em área de localização diferenciada,"AV BRASIL, 833 COL CASTROLANDA. 84172-340 Castro - PR.",(42) 32341477,Não Informado,Ensino Fundamental,,79320552000137
8004,PR,PONTA GROSSA,Castro,41395689,CAVALINHO DE PAU C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA ANTONIO MENARIM SN, PADRO VELHO. 84165-540 Castro - PR.",(42) 21225433,Não Informado,Educação Infantil,,
8005,PR,PONTA GROSSA,Castro,41358953,CAVANIS C E I IRMAS,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA SAO TOME, 1587 84168-010 Castro - PR.",(42) 32323166,Filantrópica,Educação Infantil,,
8688,PR,TOLEDO,Guaíra,41379799,MARIA DE LOURDES A PEREIRA C M E I PROF,Municipal,Urbana,A escola não está em área de localização diferenciada,"AV THOMAZ LUIZ ZEBALLOS, 65 CENTRO. 85980-000 Guaíra - PR.",(44) 36427026,Não Informado,Educação Infantil,,
8006,PR,PONTA GROSSA,Castro,41143671,CEEBJA PROFA AMELIA MADAL S B VAZ EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA CEL JORGE MARCONDES, 591 ESCOLA. VL RIO BRANCO. 84172-020 Castro - PR.",(42) 32333639,Não Informado,"Ensino Médio, Educação de Jovens Adultos",,1254027000173
8007,PR,PONTA GROSSA,Castro,41374029,CENTRO EST EDUC PROFIS OLEGARIO MACEDO,Estadual,Urbana,A escola não está em área de localização diferenciada,"AV MARLY ROLIM SN, VL RIO BRANCO. 84172-340 Castro - PR.",(42) 32331360,Não Informado,"Ensino Médio, Educação Profissional",,2392417000172
8008,PR,PONTA GROSSA,Castro,41059930,CERCADO E M C DE EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"CERCADO, DIST SOCAVAO. 84165-970 Castro - PR.",,Não Informado,"Educação Infantil, Ensino Fundamental",,
8009,PR,PONTA GROSSA,Castro,41149181,CIRANDA DO SABER C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA PEDRO CANHA SALGADO, 495 CANTAGALO. 84178-470 Castro - PR.",(42) 21225435,Não Informado,Educação Infantil,,
8010,PR,PONTA GROSSA,Castro,41060830,COL SEPAM-EDUC INF ENS FUN MED,Privada,Urbana,A escola não está em área de localização diferenciada,"PRACA SANTANA DO IAPO, 15 COLEGIO. CENTRO. 84165-490 Castro - PR.",(42) 32325054,Particular,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
