id,value
7732,Operadores de máquinas de aglomeraçăo e prensagem de chapas
7733,Operadores de usinagem convencional de madeira
7734,Operadores de máquina de usinar madeira (produçăo em série)
7735,Operadores de máquinas de usinagem de madeira cnc
7741,Montadores de móveis e artefatos de madeira
7751,Trabalhadores de arte e  do acabamento em madeira do mobiliário
7764,"Confeccionadores de artefatos de madeira, móveis de vime e afins"
7771,Carpinteiros navais
7772,Carpinteiros de carrocerias e carretas
7801,Supervisores de trabalhadores de embalagem e etiquetagem
7811,Condutores de processos robotizados
7813,Operadores de veículos subaquáticos controlados remotamente
7817,Trabalhadores subaquáticos
7821,Operadores de máquinas e equipamentos de elevaçăo
7822,Operadores de equipamentos de movimentaçăo de cargas
7823,Motoristas de veículos de pequeno e médio porte
7824,"Motoristas de ônibus urbanos, metropolitanos e rodoviários"
7825,Motoristas de veículos de cargas em geral
7826,Operadores de veículos sobre trilhos e cabos aéreos
7827,Trabalhadores aquaviários
7828,Condutores de animais e de veículos de traçăo animal e pedais
7831,Trabalhadores de manobras de transportes sobre trilhos
7832,Trabalhadores de cargas e descargas de mercadorias
7841,Trabalhadores de embalagem e de etiquetagem
7842,Alimentadores de linhas de produçăo
7911,Artesăos
8101,"Supervisores de produçăo em indústrias químicas, petroquímicas e afins"
8102,Supervisores de produçăo em indústrias de transformaçăo de plásticos e borrachas
8103,"Supervisores de produçăo em indústrias de produtos farmacęuticos, cosméticos e afins"
8110,"Operadores polivalentes de equipamentos em indústrias químicas, petroquímicas e afins"
8111,Operadores de equipamentos de moagem e mistura de materiais (tratamentos químicos e afins)
8112,Operadores de calcinaçăo e de tratamentos químicos de materiais radioativos
8113,Operadores de equipamentos de filtragem e separaçăo
8114,"Operadores de equipamentos de destilaçăo, evaporaçăo e reaçăo"
8115,Operadores de equipamentos de produçăo e refino de petróleo e gás
8116,Operadores de equipamentos de coqueificaçăo
8117,"Operadores de instalaçőes e máquinas de produtos plásticos, de borracha e moldadores de parafinas"
8118,"Operadores de máquinas e instalaçőes de produtos farmacęuticos, cosméticos e afins"
8121,Trabalhadores da fabricaçăo de muniçăo e explosivos químicos
8131,"Operadores de processos das indústrias de transformaçăo de produtos químicos, petroquímicos e afins"
8181,Laboratoristas industriais auxiliares
8201,Supervisores de produçăo em indústrias siderúrgicas
8202,Supervisores na fabricaçăo de materiais para construçăo (vidros e cerâmicas)
8211,Operadores de instalaçőes de sinterizaçăo
8212,Operadores de fornos de primeira  fusăo e aciaria
8213,Operadores de equipamentos de laminaçăo
8214,Operadores de equipamentos de acabamento de chapas e metais
8221,Forneiros metalúrgicos (segunda fusăo e reaquecimento)
8231,"Operadores na preparaçăo de massas para abrasivo, vidro, cerâmica, porcelana e materiais de construçăo"
8232,"Operadores de equipamentos de fabricaçăo  e beneficiamento de cristais, vidros, cerâmicas, porcelanas, fibras de vidro, abrasivos e afins"
8233,Operadores de instalaçőes e equipamentos de fabricaçăo de materiais de construçăo
8281,Trabalhadores da fabricaçăo de cerâmica estrutural para construçăo
8301,Supervisores da fabricaçăo de celulose e papel
8311,Preparadores de pasta para fabricaçăo de papel
8321,Operadores de máquinas de fabricar papel e papelăo
8331,Operadores de máquinas na fabricaçăo de produtos de papel e papelăo
8332,Trabalhadores artesanais de produtos de papel e papelăo
8401,"Supervisores da fabricaçăo de alimentos, bebidas e fumo"
8411,"Trabalhadores da indústria de beneficiamento de grăos, cereais e afins"
8412,Trabalhadores no beneficiamento do sal
8413,Trabalhadores na fabricaçăo e refino de açúcar
8414,Trabalhadores na fabricaçăo e conservaçăo de alimentos
8415,Trabalhadores na pasteurizaçăo do leite e na fabricaçăo de laticínios  e afins
8416,"Trabalhadores na industrializaçăo de café, cacau, mate e de produtos afins"
8417,"Trabalhadores na fabricaçăo de cachaça, cerveja, vinhos e outras bebidas"
8418,"Operadores de equipamentos na fabricaçăo de păes, massas alimentícias, doces, chocolates e achocolatados"
8421,Cigarreiros e beneficiadores de fumo
8422,Charuteiros
8423,Cigarreiros
8481,Trabalhadores artesanais na conservaçăo de alimentos
8482,Trabalhadores artesanais na pasteurizaçăo do leite e na fabricaçăo de laticínios e afins
8483,"Padeiros, confeiteiros e afins"
8484,Trabalhadores na degustaçăo e classificaçăo de grăos e afins
8485,Magarefes e afins
8486,Trabalhadores artesanais na indústria do fumo
8601,Supervisores da produçăo de utilidades
8611,"Operadores de instalaçőes de geraçăo e distribuiçăo de energia elétrica, hidráulica, térmica ou nuclear"
8612,Operadores de instalaçőes de distribuiçăo de energia elétrica
8621,Operadores de máquinas a vapor e utilidades
8622,"Operadores de instalaçőes de captaçăo, tratamento e distribuiçăo de água"
8623,Operadores de instalaçőes de captaçăo e esgotos
8624,"Operadores de instalaçőes de extraçăo, processamento, envasamento e distribuiçăo de gases"
8625,Operadores de instalaçőes de refrigeraçăo e ar-condicionado
